Date,BeyA,BeyB,ScoreA,ScoreB
2025-09-07,ViperTail,WizardArc,4,2
2025-09-07,SamuraiSaber,TuskMammoth,2,4
2025-09-07,BlackShell,GolemRock,0,4
2025-09-07,LeonCrest,ImpactDrake,3,4
2025-09-07,DranBrave,HellsReaper,4,2
2025-09-07,HellsHammer,DranSword,3,4
2025-09-07,DranDagger,CrimsonGaruda,4,0
2025-09-07,LeonClaw,UnicornSting,0,4
2025-09-07,FoxBrush,DranBuster,5,0
2025-09-07,HellsChain,TyrannoBeat,2,4
2025-09-07,PhoenixWing,WizardArrow,4,3
2025-09-07,KeelShark,CobaltDragoon,0,5
2025-09-07,PerseusDark,WhaleWave,5,0
2025-09-07,SilverWolf,WizardRod,3,4
2025-09-07,WeissTiger,RhinoReaper,4,0
2025-09-07,ScorpioSpear,PhoenixRudder,2,4
2025-09-07,ViperTail,TuskMammoth,2,5
2025-09-07,GolemRock,ImpactDrake,0,4
2025-09-07,DranBrave,DranSword,3,5
2025-09-07,DranDagger,UnicornSting,1,4
2025-09-07,FoxBrush,TyrannoBeat,5,2
2025-09-07,PhoenixWing,CobaltDragoon,4,2
2025-09-07,PerseusDark,WizardRod,2,4
2025-09-07,WeissTiger,PhoenixRudder,3,4
2025-09-07,TuskMammoth,ImpactDrake,0,4
2025-09-07,DranSword,UnicornSting,4,1
2025-09-07,FoxBrush,PhoenixWing,4,0
2025-09-07,WizardRod,PhoenixRudder,4,2
2025-09-07,ImpactDrake,DranSword,4,2
2025-09-07,FoxBrush,WizardRod,4,1
2025-09-07,ImpactDrake,FoxBrush,7,0
2025-11-12,WeissTiger,ImpactDrake,3,4
2025-11-12,CobaltDragoon,WizardArc,5,3
2025-11-12,HellsChain,PhoenixWing,6,3
2025-11-12,UnicornSting,WizardRod,5,2
2025-11-12,PhoenixRudder,SilverWolf,1,4
2025-11-12,LeonCrest,GolemRock,2,4
2025-11-12,CerberusFlame,TyrannoBeat,4,1
2025-11-12,PerseusDark,KnightMail,0,5
2025-11-12,DranSword,BlackShell,1,4
2025-11-12,FoxBrush,PegasusBlast,4,0
2025-11-12,DranBrave,ViperTail,0,4
2025-11-12,HellsReaper,ScorpioSpear,2,4
2025-11-12,WhaleWave,WhaleFlame,4,2
2025-11-12,DranBuster,SamuraiSaber,4,0
2025-11-12,WizardArrow,RhinoReaper,3,4
2025-11-12,KeelShark,CrimsonGaruda,4,1
2025-11-12,LeonClaw,ImpactDrake,2,4
2025-11-12,HellsHammer,CobaltDragoon,0,5
2025-11-12,TuskMammoth,HellsChain,5,3
2025-11-12,DranDagger,UnicornSting,5,0
2025-11-12,GolemRock,CerberusFlame,1,4
2025-11-12,BlackShell,FoxBrush,0,4
2025-11-12,ScorpioSpear,WhaleWave,4,1
2025-11-12,RhinoReaper,KeelShark,4,2
2025-11-12,ImpactDrake,SilverWolf,2,4
2025-11-12,CobaltDragoon,KnightMail,3,5
2025-11-12,TuskMammoth,ViperTail,5,1
2025-11-12,DranDagger,DranBuster,4,2
2025-11-12,SilverWolf,CerberusFlame,0,4
2025-11-12,KnightMail,FoxBrush,2,4
2025-11-12,TuskMammoth,ScorpioSpear,6,0
2025-11-12,DranDagger,RhinoReaper,2,6
2025-11-12,CerberusFlame,FoxBrush,1,4
2025-11-12,TuskMammoth,RhinoReaper,0,4
2025-11-12,FoxBrush,RhinoReaper,8,4